"type_searchedVerb","type_selection3"
"descorazonar","1. tr. Desanimar, acobardar, amilanar. U. t. c. prnl."
"descorchar","1. tr. Sacar el corcho que cierra una botella u otra vasija."
"descortezar","1. tr. Quitar la corteza al árbol, al pan o a otra cosa. U. t. c. prnl."
"descoser","1. tr. Soltar, cortar, desprender las puntadas de las cosas que estaban cosidas. U. t. c. prnl."
"descoyuntar","1. tr. Desencajar los huesos de su lugar y, en general, descomponer cualquier cosa articulada. U. t. c. prnl. U. t. en sent. fig."
"descuartizar","1. tr. Dividir un cuerpo haciéndolo cuartos o más partes."
"descubrir","1. tr. Manifestar, hacer patente."
"descuidar","1. tr. No cuidar de alguien o de algo, o no atenderlo con la diligencia debida."
"desdecir","1. tr. desmentir."
"desdoblar","1. tr. Extender algo que estaba doblado. U. t. c. prnl."
"desear","1. tr. Aspirar con vehemencia al conocimiento, posesión o disfrute de algo."
"desechar","1. tr. Excluir, reprobar."
"desembarcar","1. tr. Sacar de la nave y poner en tierra lo embarcado."
"desembolsar","1. tr. Sacar lo que está en la bolsa."
"desemborrachar","1. tr. desembriagar. U. t. c. prnl."
"desembrollar","1. tr. coloq. Desenredar, aclarar."
"desembuchar","1. tr. Dicho de un ave: Echar o expeler lo que tiene en el buche."
"desemparejar","1. tr. Desigualar lo que estaba o iba igual y parejo. U. t. c. prnl."
"desempatar","1. tr. Deshacer el empate en una votación o en una competición. U. t. c. intr."
"desempolvar","1. tr. Quitar el polvo. U. t. c. prnl."
"desencabestrar","1. tr. Sacar la mano o el pie de la bestia que se ha enredado en el cabestro."
"desencadenar","1. tr. Quitar la cadena a quien está con ella amarrado."
"desencantar","1. tr. Deshacer el encanto. U. t. c. prnl."
"desengrasar","1. tr. Quitar la grasa."
"desenlazar","1. tr. Hacer que lo que está enlazado, atado o unido deje de estarlo. U. t. c. prnl. Los cuerpos de los bailarines se enlazan y desenlazan."
"desenredar","1. tr. Deshacer el enredo."
"desenterrar","1. tr. Exhumar, descubrir, sacar lo que está debajo de tierra."
"desenvainar","1. tr. Sacar de la vaina la espada u otra arma blanca."
"desenvolver","1. tr. Quitar la envoltura. U. t. c. prnl."
"desertar","1. intr. Dicho de un soldado: Desamparar, abandonar sus banderas. U. menos c. prnl."
"desesperar","1. tr. desesperanzar. U. t. c. intr. y c. prnl."
"desfallecer","1. tr. p. us. Causar desfallecimiento o disminuir las fuerzas."
"desfibrar","1. tr. Quitar las fibras a las materias que las contienen, como las plantas textiles, maderas, etc."
"desfigurar","1. tr. Desemejar, afear, ajar la composición, orden y hermosura del semblante y de las facciones. U. t. c. prnl."
"desflorar","1. tr. Ajar, quitar la flor o el lustre."
"desgarrar","1. tr. rasgar1. U. t. c. prnl."
"desgraciar","1. tr. Estropear o dañar algo. Han desgraciado el río con tanta presa. U. t. c. prnl. El cristal se desgració con gran estruendo."
"desgranar","1. tr. Sacar el grano de algo. U. t. c. prnl."
"deshacer","1. tr. Quitar la forma a algo, descomponiéndolo. U. t. c. prnl."
"deshilar","1. tr. Sacar hilos de un tejido."
"deslenguar","1. tr. Quitar o cortar la lengua."
"desliar","1. tr. Deshacer el lío, desatar lo liado. U. t. c. prnl."
"deslucir","1. tr. Quitar la gracia, atractivo o lustre a algo. U. t. c. prnl."
"deslumbrar","1. tr. Ofuscar la vista o confundirla con el exceso de luz. U. t. c. prnl."
"desmalezar","1. tr. Am. Escardar, desbrozar, quitar la maleza."
"desmejorar","1. tr. Hacer perder el lustre y perfección. U. t. c. prnl."
"desmenuzar","1. tr. Deshacer algo dividiéndolo en partes menudas. U. t. c. prnl."
"desmontar","1. tr. Cortar en un monte o en parte de él los árboles o matas."
"desmotar","1. tr. Quitar las motas a la lana o al paño."
"desnatar","1. tr. Quitar la nata a la leche o a otro líquido."
"desnucar","1. tr. Sacar de su lugar los huesos de la nuca. U. t. c. prnl."
"desnudar","1. tr. Quitar todo el vestido o parte de él. U. t. c. prnl."
"desobedecer","1. tr. Dicho de una persona: No hacer lo que ordenan las leyes o quienes tienen autoridad."
"desocupar","1. tr. Dejar un lugar libre de obstáculos."
"desollar","1. tr. Quitar la piel del cuerpo o de alguno de sus miembros. U. t. c. prnl."
"desordenar","1. tr. Turbar, confundir y alterar el buen orden. U. t. c. prnl."
"desorejar","1. tr. Cortar las orejas."
"desovar","1. intr. Dicho de la hembra de un pez, de un anfibio, de un crustáceo, de un molusco o de un insecto: Soltar sus huevos o huevas."
"desparramar","1. tr. Esparcir, extender por muchas partes lo que estaba junto. U. t. c. prnl."
"despechar","1. tr. p. us. Causar despecho1. U. t. c. prnl."
"despedazar","1. tr. Hacer pedazos un cuerpo, dividiéndolo en partes sin orden ni concierto. U. t. c. prnl."
"despegar","1. tr. Apartar, desasir y desprender algo de otra cosa a la que estaba pegado o junto."
"despellejar","1. tr. Quitar el pellejo, desollar. U. t. c. prnl."
"despertar","1. tr. Cortar o interrumpir el sueño a quien está durmiendo. U. t. c. prnl."
"despintar","1. tr. Borrar o raer lo pintado o teñido. U. t. c. prnl."
"despiojar","1. tr. Quitar los piojos. U. t. c. prnl."
"desplegar","1. tr. Desdoblar o extender lo que está plegado. U. t. c. prnl."
"despojar","1. tr. Privar a alguien de lo que goza y tiene, desposeerlo de ello con violencia."
