bendecir,transitive,0
beneficiar,transitive,0
blanquear,transitive,0
borbotar,transitive,intransitive
borbotear,transitive,intransitive
borrar,transitive,0
bostezar,transitive,intransitive
boyar,transitive,intransitive
bracear,transitive,intransitive
bramar,transitive,intransitive
brillar,transitive,intransitive
brincar,transitive,intransitive
bromear,transitive,intransitive
bufar,transitive,intransitive
bullir,transitive,intransitive
burbujear,transitive,intransitive
burlar,transitive,0
buscar,transitive,0
cabecear,transitive,intransitive
caber,transitive,intransitive
cabriolar,transitive,intransitive
cacarear,transitive,intransitive
caer,transitive,intransitive
cagar,transitive,intransitive
calcular,transitive,0
calentar,transitive,0
callar,transitive,0
calmar,transitive,0
calumniar,transitive,0
cambiar,transitive,intransitive
caminar,transitive,0
canjear,transitive,0
cansar,transitive,0
cantar,transitive,intransitive
capacitar,transitive,0
captar,transitive,0
capturar,transitive,0
carcomer,transitive,0
cardar,transitive,0
carear,transitive,0
cargar,transitive,0
casar,transitive,intransitive
castellanizar,transitive,0
castigar,transitive,0
causar,transitive,0
cautivar,transitive,0
cavar,transitive,0
cazar,transitive,0
cebar,transitive,0
cecear,transitive,intransitive
ceder,transitive,0
cegar,transitive,0
celebrar,transitive,0
cenar,0,0
centellear,transitive,intransitive
centrar,transitive,0
cernir,transitive,0
cerrar,transitive,0
cesar,transitive,intransitive
chapuzar,transitive,intransitive
charlar,transitive,intransitive
chicotear,transitive,0
chillar,transitive,intransitive
chirriar,transitive,intransitive
chispear,transitive,intransitive
chisporrotear,transitive,intransitive
chocar,transitive,intransitive
chorrear,transitive,intransitive
chupar,transitive,intransitive
circular,0,0
circuncidar,transitive,0
circundar,transitive,0
clarificar,transitive,0
clausurar,transitive,0
clavar,transitive,0
cobijar,transitive,0
cocear,transitive,intransitive
cocer,transitive,0
cocinar,transitive,intransitive
codiciar,transitive,0
coger,transitive,0
cohabitar,transitive,intransitive
coincidir,transitive,intransitive
colaborar,transitive,intransitive
colar,transitive,0
colgar,transitive,0
colmar,transitive,0
colocar,transitive,0
colorear,transitive,0
columpiar,transitive,0
combar,transitive,0
comenzar,transitive,0
comer,transitive,intransitive
comerciar,transitive,intransitive
compadecer,transitive,0
comparar,transitive,0
completar,transitive,0
complicar,transitive,0
componer,transitive,0
comprar,transitive,0
comprender,transitive,0
comprometer,transitive,0
computar,transitive,0
comunicar,transitive,0
conceder,transitive,0
concluir,transitive,intransitive
concurrir,transitive,intransitive
condensar,transitive,0
condimentar,transitive,0
conducir,transitive,0
confeccionar,transitive,0
confesar,transitive,0
confiar,transitive,0
confirmar,transitive,0
confundir,transitive,0
congelar,transitive,0
congratular,transitive,0
conocer,transitive,0
conseguir,transitive,0
consentir,transitive,intransitive
conservar,transitive,0
consolar,transitive,0
construir,transitive,0
contagiar,transitive,0
contaminar,transitive,0
contar,transitive,0
contemplar,transitive,0
contestar,transitive,intransitive
contradecir,transitive,0
conversar,transitive,intransitive
convertir,transitive,0
convidar,transitive,0
cooperar,transitive,intransitive
corcovear,transitive,intransitive
corregir,transitive,0
correr,transitive,intransitive
corromper,transitive,0
cortar,transitive,0
cortejar,transitive,0
cosechar,transitive,intransitive
coser,transitive,0
costar,transitive,intransitive
cotizar,transitive,0
crear,transitive,0
crecer,transitive,intransitive
creer,transitive,0
crepitar,transitive,intransitive
criar,transitive,0
criticar,transitive,0
croar,transitive,intransitive
crujir,transitive,intransitive
cruzar,transitive,0
cuajar,0,0
cubrir,transitive,0
cuchichear,transitive,intransitive
cuidar,transitive,0
cultivar,transitive,0
cumplir,transitive,0
curar,transitive,0
damnificar,transitive,0
danzar,transitive,intransitive
dar,transitive,0
datar,transitive,0
dañar,transitive,0
debilitar,transitive,0
debutar,transitive,intransitive
decapitar,transitive,0
decir,transitive,0
decolorar,transitive,0
deducir,transitive,0
defecar,transitive,0
defender,transitive,0
deformar,transitive,0
defraudar,transitive,0
degenerar,transitive,intransitive
degollar,transitive,0
delatar,transitive,0
delirar,transitive,intransitive
demoler,transitive,0
demorar,transitive,0
denegar,transitive,0
denominar,transitive,0
denunciar,transitive,0
depauperar,transitive,0
depender,transitive,intransitive
deplorar,transitive,0
deportar,transitive,0
deprimir,transitive,0
depurar,transitive,0
derogar,transitive,0
derramar,transitive,0
derretir,transitive,0
derribar,transitive,0
derrocar,transitive,0
derrotar,transitive,0
derruir,transitive,0
derrumbar,transitive,0
desacatar,transitive,0
desafiar,transitive,0
desafilar,transitive,0
desagraviar,transitive,0
desaguar,transitive,0
desairar,transitive,0
desalojar,transitive,0
desamparar,transitive,0
desaparecer,transitive,intransitive
desarrollar,transitive,0
desatar,transitive,0
desatender,transitive,0
desayunar,transitive,intransitive
desbordar,transitive,0
descabezar,transitive,0
descansar,transitive,intransitive
descargar,transitive,0
descarriar,transitive,0
descarrilar,transitive,intransitive
descartar,transitive,0
descascarar,transitive,0
descender,transitive,0
descolgar,transitive,0
descomponer,transitive,0
desconfiar,transitive,intransitive
descorazonar,transitive,0
descorchar,transitive,0
descortezar,transitive,0
descoser,transitive,0
descoyuntar,transitive,0
descuartizar,transitive,0
descubrir,transitive,0
descuidar,transitive,0
