"type_searchedVerb","type_selection3"
"purificar","1. tr. Quitar de algo lo que le es extraño, dejándolo en el ser y perfección que debe tener según su calidad. U. t. c. prnl."
"quebrantar","1. tr. Romper, separar con violencia."
"quebrar","1. tr. Romper, separar con violencia."
"quedar","1. intr. Estar, detenerse forzosa o voluntariamente en un lugar. U. t. c. prnl."
"quemar","1. tr. Dicho del fuego: Destruir algo o a alguien. U. t. c. prnl."
"querer","1. tr. Desear o apetecer."
"quitar","1. tr. Tomar algo separándolo y apartándolo de otras cosas, o del lugar o sitio en que estaba."
"rabiar","1. intr. Padecer o tener rabia (‖ enfermedad)."
"radicar","1. intr. Echar raíces, arraigar. U. t. c. prnl."
"rajar","1. tr. Dividir en rajas."
"ralear","1. intr. Dicho de una cosa: Hacerse rala, perdiendo la densidad, opacidad o solidez que tenía. U. t. c. tr."
"rallar","1. tr. Desmenuzar algo restregándolo con el rallador."
"ramificar","1. intr. Dicho de un árbol, de un arbusto, etc.: Echar ramas."
"rapar","1. tr. Rasurar o afeitar las barbas. U. t. c. prnl."
"rascar","1. tr. Refregar o frotar fuertemente la piel con algo agudo o áspero, y por lo regular con las uñas. U. t. c. prnl."
"rasgar","1. tr. Romper o hacer pedazos con las manos algo de poca consistencia, como tela, papel, etc."
"rasguñar","1. tr. Arañar o rascar algo, especialmente la piel, con las uñas o con algún instrumento cortante."
"raspar","1. tr. Frotar ligeramente algo quitándole alguna parte superficial."
"rasurar","1. tr. afeitar (‖ cortar el pelo del cuerpo)."
"rayar","1. tr. Hacer o tirar rayas."
"razonar","1. tr. Exponer razones para explicar o demostrar algo. Razonar una teoría, una respuesta."
"reaccionar","1. intr. Dicho de un ser: Actuar por reacción de la actuación de otro, o por efecto de un estímulo. Un estímulo hace reaccionar a los seres. Los seres reaccionan favorablemente o en contra de un estímulo."
"realizar","1. tr. Efectuar, llevar a cabo algo o ejecutar una acción. U. t. c. prnl."
"reanimar","1. tr. Confortar, dar vigor, restablecer las fuerzas. U. t. c. prnl."
"rebanar","1. tr. Hacer rebanadas algo o de algo."
"rebatir","1. tr. Rechazar o contrarrestar la fuerza o violencia de alguien."
"rebosar","1. intr. Dicho de una materia líquida: Derramarse por encima de los bordes del recipiente que la contiene. El agua del vaso rebosaba. U. t. c. prnl."
"rebotar","1. intr. Dicho de un cuerpo elástico: Botar repetidamente, ya sobre el terreno, ya chocando con otros cuerpos."
"recalcar","1. tr. Ajustar, apretar mucho algo con otra cosa o sobre otra cosa."
"recelar","1. tr. Temer, desconfiar o sospechar. U. t. c. prnl."
"rechazar","1. tr. Forzar a algo o a alguien a que retroceda."
"rechinar","1. intr. Dicho de una cosa: Producir o causar un sonido, generalmente desagradable, por rozar con otra. Le rechinaban los dientes."
"recibir","1. tr. Dicho de una persona: Tomar lo que le dan o le envían."
"recluir","1. tr. Encerrar o poner en reclusión. U. t. c. prnl."
"recobrar","1. tr. Volver a tomar o adquirir lo que antes se tenía o poseía. Recobrar las alhajas, la salud, el honor."
"recoger","1. tr. Volver a coger, tomar por segunda vez algo."
"recolectar","1. tr. Recoger los frutos de una cosecha. U. t. c. intr."
"recomendar","1. tr. Encargar, pedir o dar orden a alguien para que tome a su cuidado una persona o un negocio."
"recompensar","1. tr. Compensar el daño hecho."
"reconciliar","1. tr. Volver a las amistades, o atraer y acordar los ánimos desunidos. U. t. c. prnl."
"reconfortar","1. tr. Confortar de nuevo o con energía y eficacia."
"reconocer","1. tr. Examinar algo o a alguien para conocer su identidad, naturaleza y circunstancias. Reconoció detenidamente las joyas familiares."
"recordar","1. tr. Pasar a tener en la mente algo del pasado. Ahora lo recuerdo: ella no vino ese día. U. t. c. intr. Aquí jugábamos de niños, ¿recuerdas?"
"recorrer","1. tr. Atravesar un espacio o lugar en toda su extensión o longitud. El viajero ha recorrido toda España."
"recostar","1. tr. Dicho de quien está de pie o sentado: Reclinar la parte superior del cuerpo. U. t. c. prnl."
"recrear","1. tr. Crear o producir de nuevo algo."
"rectificar","1. tr. Reducir algo a la exactitud que debe tener."
"recubrir","1. tr. Volver a cubrir."
"recular","1. intr. Ir hacia atrás."
"recuperar","1. tr. Volver a tomar o adquirir lo que antes se tenía."
"redimir","1. tr. Rescatar o sacar de esclavitud al cautivo mediante precio. U. t. c. prnl."
"redondear","1. tr. Poner redondo algo. U. t. c. prnl."
"reducir","1. tr. Volver algo al lugar donde antes estaba o al estado que tenía."
"reemplazar","1. tr. Sustituir algo por otra cosa, poner en su lugar otra que haga sus veces."
"referir","1. tr. Dar a conocer, de palabra o por escrito, un hecho verdadero o ficticio."
"refinar","1. tr. Hacer más fino o más puro algo, separando las heces y materias heterogéneas o groseras."
"reflejar","1. tr. Dicho de una superficie lisa y brillante, como el agua, un espejo, etc.: Formar la imagen de algo o de alguien. El espejo refleja la habitación. U. t. c. prnl. El pueblo se refleja en el río."
"reflexionar","1. intr. Pensar atenta y detenidamente sobre algo. Debe reflexionar sobre el problema. U. t. c. tr. ¿Han reflexionado su decisión?"
"reformar","1. tr. Volver a formar, rehacer."
"reforzar","1. tr. Engrosar o añadir nuevas fuerzas o fomento a algo."
"refregar","1. tr. Frotar algo con otra cosa. U. t. c. prnl."
"refrenar","1. tr. Sujetar y reducir al caballo con el freno."
"refrescar","1. tr. Atemperar, moderar o disminuir el calor de algo. U. t. c. prnl."
"refunfuñar","1. intr. Emitir voces confusas o palabras mal articuladas o entre dientes, en señal de enojo o desagrado."
"refutar","1. tr. Contradecir o impugnar con argumentos o razones lo que otros dicen."
"regalar","1. tr. Dar a alguien, sin recibir nada a cambio, algo en muestra de afecto o consideración o por otro motivo."
"regar","1. tr. Esparcir agua sobre una superficie, como la de la tierra, para beneficiarla, o la de una calle, una sala, etc., para limpiarla o refrescarla."
"regañar","1. tr. Reprender, reconvenir."
"regir","1. tr. Dirigir, gobernar o mandar."
"registrar","1. tr. Mirar, examinar algo con cuidado y diligencia."
"reglamentar","1. tr. Sujetar a reglamento un instituto o una materia determinada."
"regresar","1. tr. Am. Devolver o restituir algo a su poseedor. Regresar un libro."
"regurgitar","1. tr. Biol. Expeler por la boca, sin esfuerzo o sacudida de vómito, sustancias sólidas o líquidas contenidas en el esófago o en el estómago. U. t. c. intr."
"rehacer","1. tr. Volver a hacer lo que se había deshecho, o hecho mal."
"rehuir","1. tr. Retirar, apartar algo como con temor, sospecha o recelo de un riesgo. U. t. c. intr. y c. prnl."
"rehusar","1. tr. No querer o no aceptar algo."
"reinar","1. intr. Ejercer en una monarquía la jefatura del Estado."
"relacionar","1. tr. Hacer relación de un hecho."
"relampaguear","1. intr. impers. Haber relámpagos."
"relatar","1. tr. referir (‖ dar a conocer un hecho)."
"relegar","1. tr. Entre los antiguos romanos, desterrar a un ciudadano sin privarlo de los derechos de tal."
"relevar","1. tr. Hacer de relieve algo."
"rellenar","1. tr. Volver a llenar algo. U. t. c. prnl."
"relucir","1. intr. Dicho de una cosa: Emitir o reflejar luz."
"relumbrar","1. intr. Dicho de una cosa: Dar viva luz o alumbrar con exceso."
"remar","1. intr. Trabajar con el remo para impeler la embarcación en el agua."
"rematar","1. tr. Dar fin o remate a algo."
"remediar","1. tr. Poner remedio al daño. U. t. c. prnl."
"rememorar","1. tr. recordar (‖ pasar a tener en la mente algo del pasado)."
"remendar","1. tr. Reforzar con remiendo lo que está viejo o roto, especialmente la ropa."
