advertir,"1. tr. Fijar en algo la atención, reparar, observar."
afilar,1. tr. Sacar filo o hacer más delgado o agudo el de un arma o instrumento.
afinar,"1. tr. Perfeccionar, precisar o dar el último punto a algo. U. t. c. prnl."
afligir,1. tr. Causar molestia o sufrimiento físico.
aflojar,1. tr. Disminuir la presión o la tirantez de algo. U. t. c. prnl.
agarrar,1. tr. Asir fuertemente.
agasajar,1. tr. Tratar con atención expresiva y cariñosa.
agitar,1. tr. Mover con frecuencia y violentamente de un lado a otro. U. t. c. prnl.
agonizar,1. intr. Dicho de un enfermo: Estar en la agonía.
agotar,1. tr. Extraer todo el líquido contenido en un recipiente. U. t. c. prnl.
agrandar,1. tr. Hacer más grande algo. U. t. c. prnl.
agravar,"1. tr. Aumentar el peso de algo, hacer que sea más pesado."
agraviar,1. tr. Hacer agravio.
agregar,1. tr. Unir o juntar unas personas o cosas a otras. U. t. c. prnl.
agriar,1. tr. Poner agrio algo. U. m. c. prnl.
agrietar,1. tr. Abrir grietas o hendiduras. U. m. c. prnl.
agrupar,"1. tr. Reunir en grupo, apiñar. U. t. c. prnl."
aguantar,"1. tr. Sostener, sustentar, no dejar caer."
agujerear,1. tr. Hacer uno o más agujeros a alguien o algo. U. t. c. prnl.
ahogar,"1. tr. Quitar la vida a una persona o a un animal, impidiéndole la respiración. U. t. c. prnl."
ahondar,1. tr. Hacer algo hondo o más hondo de lo que era. Ahondar un pozo. U. t. en sent. fig. Ahondar una rivalidad. U. t. c. prnl.
ahorcar,1. tr. Colgar a una persona o un animal por el cuello para darle muerte. U. t. c. prnl.
ahorrar,1. tr. Reservar una parte de los ingresos ordinarios. U. t. c. intr. Ahorrar para la vejez.
ahuecar,1. tr. Poner hueco o cóncavo algo.
ahumar,"1. tr. Poner al humo algo, hacer que lo reciba."
ahuyentar,1. tr. Hacer huir a una persona o a un animal.
airear,1. tr. Poner al aire o ventilar algo. Airear los granos.
ajar,1. m. Tierra sembrada de ajos.
alabar,"1. tr. Manifestar el aprecio o la admiración por algo o por alguien, poniendo de relieve sus cualidades o méritos."
alargar,1. tr. Dar más longitud a algo. U. t. c. prnl.
albergar,1. tr. Dar albergue u hospedaje a alguien. U. t. en sent. fig.
alborotar,"1. tr. Inquietar, alterar, conmover, perturbar. U. t. c. prnl."
alcanzar,1. tr. Llegar a juntarse con alguien o algo que va delante.
alegrar,1. tr. Causar alegría a alguien.
alejar,"1. tr. Distanciar, llevar a alguien o algo lejos o más lejos. U. t. c. prnl."
aletear,1. intr. Dicho de un ave: Mover frecuentemente las alas sin echar a volar.
alimentar,1. tr. Dar alimento a un ser vivo.
alisar,1. m. Sitio poblado de alisos.
alistar,1. tr. Sentar o inscribir en lista a alguien o algo. U. t. c. prnl.
alivianar,1. tr. desus. aliviar. U. en Am.
aliviar,1. tr. aligerar (‖ hacer menos pesado).
almorzar,1. tr. Comer algo en el almuerzo. Almorzar chuletas.
alojar,1. tr. Hospedar o aposentar. U. t. c. intr. y c. prnl.
alternar,"1. tr. Variar las acciones diciendo o haciendo ya unas cosas, ya otras, y repitiéndolas sucesivamente. Alternar el ocio y el trabajo. Alternar la vida en el campo con la vida urbana."
alumbrar,1. tr. Dar luz y claridad a algo o a alguien. Alumbró con los candelabros a los invitados. Esta lámpara alumbra todo el salón. U. t. c. intr. El sol alumbra. Esta lámpara alumbra bien.
alzar,1. tr. levantar (‖ mover hacia arriba).
amamantar,1. tr. Dar de mamar.
amanecer,1. intr. impers. Empezar a aparecer la luz del día. Amanece a las ocho. Amanece nublado.
amansar,"1. tr. Domesticar, hacer manso a un animal. U. t. c. prnl."
amargar,1. tr. Comunicar sabor o gusto desagradable a algo. U. t. en sent. fig.
amarrar,"1. tr. Atar y asegurar algo por medio de cuerdas, maromas, cadenas, etc."
amasar,"1. tr. Formar o hacer masa, mezclando harina, yeso, tierra o cosa semejante con agua u otro líquido."
ambicionar,1. tr. Tener ambición de algo. Ambiciona la herencia familiar.
amedrentar,"1. tr. Infundir miedo, atemorizar. U. t. c. prnl."
amonestar,"1. tr. Hacer presente algo para que se considere, procure o evite."
