"type_searchedVerb","type_selection3"
"mudar","1. m. Arbusto de la India, de la familia de las asclepiadáceas, cuya raíz, de corteza rojiza por fuera y blanca por dentro, tiene un jugo muy usado por los naturales del país como emético y contraveneno."
"mugir","1. intr. Dicho de una res vacuna: Dar mugidos."
"multiplicar","1. tr. Aumentar el número o la cantidad de cosas de la misma especie. U. t. c. intr. y c. prnl., especialmente hablando de lo que se multiplica por generación. U. t. en sent. fig."
"murmurar","1. intr. Dicho de la corriente de las aguas y también del viento, de las hojas de los árboles, etc.: Hacer ruido blando y apacible."
"nacer","1. intr. Dicho de un ser vivo: Salir del vientre materno, del huevo o de la semilla."
"nacionalizar","1. tr. Naturalizar en un país personas o cosas de otro. U. t. c. prnl."
"nadar","1. intr. Dicho de una persona o de un animal: Trasladarse en el agua, ayudándose de los movimientos necesarios, y sin tocar el suelo ni otro apoyo."
"narcotizar","1. tr. Producir narcotismo. U. t. c. prnl. U. t. en sent. fig."
"narrar","1. tr. Contar, referir lo sucedido, o un hecho o una historia ficticios."
"nasalizar","1. tr. Fon. Producir con articulación nasal sonidos del habla que ordinariamente se pronuncian emitiendo solo por la boca el aire espirado. U. t. c. prnl."
"naufragar","1. intr. Dicho de una embarcación: Irse a pique o perderse."
"necesitar","1. tr. Tener necesidad de alguien o algo. U. t. c. intr. Necesita de cuidados."
"negar","1. tr. Decir que algo no existe, no es verdad o no es como alguien cree o afirma."
"negociar","1. intr. Tratar y comerciar, comprando y vendiendo o cambiando géneros, mercancías o valores para aumentar el caudal."
"nombrar","1. tr. Decir el nombre de alguien o algo."
"notificar","1. tr. Dar noticia de algo o hacerlo saber con propósito cierto."
"nutrir","1. tr. Aumentar la sustancia del cuerpo animal o vegetal por medio del alimento, reparando las partes que se van perdiendo en virtud de las acciones catabólicas."
"obedecer","1. tr. Cumplir la voluntad de quien manda. Obedecer a los padres."
"objetar","1. tr. Oponer reparo a una opinión o designio."
"obligar","1. tr. Mover e impulsar a hacer o cumplir algo, compeler, ligar."
"obrar","1. tr. Hacer algo, trabajar en ello."
"obscurecer",""
"obsequiar","1. tr. cult. Agasajar a alguien con atenciones, servicios o regalos."
"observar","1. tr. Examinar atentamente. Observar los síntomas de una enfermedad. Observar el movimiento de los astros."
"obstaculizar","1. tr. Impedir o dificultar la consecución de un propósito."
"obstar","1. intr. Dicho de una cosa: Ser un obstáculo o un impedimento. U. m. con neg. Su fallo no obsta para que mantenga el liderato. Era u. t. c. tr."
"obstruir","1. tr. Estorbar el paso, cerrar un conducto o camino."
"obturar","1. tr. Tapar o cerrar una abertura o conducto introduciendo o aplicando un cuerpo."
"ocultar","1. tr. Esconder, tapar, disfrazar, encubrir a la vista. U. t. c. prnl."
"ocupar","1. tr. Tomar posesión o apoderarse de un territorio, de un lugar, de un edificio, etc., invadiéndolo o instalándose en él."
"ocurrir","1. intr. Prevenir, anticiparse o salir al encuentro."
"odiar","1. tr. Tener odio."
"ofender","1. tr. Humillar o herir el amor propio o la dignidad de alguien, o ponerlo en evidencia con palabras o con hechos."
"ofertar","1. tr. En una promoción de ventas, ofrecer durante tiempo limitado algún producto en condiciones ventajosas para el comprador."
"ofrecer","1. tr. Comprometerse a dar, hacer o decir algo."
"ofrendar","1. tr. Ofrecer dones y sacrificios a los seres sobrenaturales por un beneficio recibido o solicitado o en señal de rendimiento y adoración."
"ondear","1. tr. Mover algo, especialmente una bandera o un pañuelo, formando ondas."
"ondular","1. tr. Hacer ondas en el pelo."
"operar","1. tr. realizar (‖ llevar a cabo algo). U. t. c. prnl."
"oprimir","1. tr. Ejercer presión sobre algo."
"orar","1. intr. Dirigirse mentalmente o de palabra a una divinidad o a una persona sagrada, frecuentemente para hacerles una súplica."
"ordenar","1. tr. Colocar algo o a alguien de acuerdo con un plan o de modo conveniente. Ordena los recibos por fecha."
"ordeñar","1. tr. Extraer la leche exprimiendo la ubre."
"orientar","1. tr. Fijar la posición o dirección de algo respecto de un lugar, especialmente un punto cardinal."
"originar","1. tr. Ser instrumento, motivo, principio u origen de algo."
"orillar","1. tr. Concluir, arreglar, ordenar, desenredar un asunto. He orillado todas mis cosas."
"orinar","1. intr. Expeler naturalmente la orina. U. t. c. prnl."
"ornamentar","1. tr. adornar (‖ engalanar con adornos)."
"osar","1. m. osario."
"oscilar","1. intr. Efectuar movimientos de vaivén a la manera de un péndulo o de un cuerpo colgado de un resorte o movido por él."
"oscurecer","1. tr. Privar de luz y claridad."
"otorgar","1. tr. Consentir, condescender o conceder algo que se pide o se pregunta."
"ovillar","1. intr. Hacer ovillos."
"oxidar","1. tr. Dicho del oxígeno o de otro agente oxidante: Producir óxido al reaccionar con una sustancia. U. t. c. prnl."
"pacificar","1. tr. Establecer la paz donde había guerra o discordia."
"pactar","1. tr. Acordar algo entre dos o más personas o entidades, obligándose mutuamente a su observancia."
"pagar","1. tr. Dicho de una persona: Dar a otra, o satisfacer, lo que le debe."
"paladear","1. tr. Tomar poco a poco el gusto de algo. U. t. c. prnl."
"paliar","1. tr. Mitigar la violencia de ciertas enfermedades."
"palidecer","1. intr. Ponerse pálido."
"palmear","1. intr. Dar golpes con las palmas de las manos una con otra y más especialmente cuando se dan en señal de regocijo o aplauso."
"palmotear","1. intr. Golpear una con otra las palmas de las manos."
"palpar","1. tr. Tocar con las manos una cosa para percibirla o reconocerla por el sentido del tacto."
"palpitar","1. intr. Dicho del corazón: Contraerse y dilatarse alternativamente."
"paralizar","1. tr. Causar parálisis. U. t. c. prnl."
"parar","1. tr. Detener e impedir el movimiento o acción de alguien."
"parear","1. tr. Juntar, igualar dos cosas comparándolas entre sí."
"parecer","1. copulat. Tener determinada apariencia o aspecto."
"parir","1. intr. Dicho de una hembra vivípara: Expulsar naturalmente el hijo o los hijos que tiene en su vientre. A las tres de la tarde ya había parido. U. t. c. tr. Isabel ha parido una niña. La perra parió tres cachorros."
"parlar","1. tr. Revelar y decir lo que se debe callar o lo que no hay necesidad de que se sepa."
"participar","1. intr. Dicho de una persona: Tomar parte en algo."
"partir","1. tr. Dividir algo en dos o más partes."
"pasar","1. tr. Llevar, conducir de un lugar a otro."
"pasear","1. intr. Ir andando por distracción o por ejercicio. U. t. c. tr. y c. prnl."
"pasmar","1. tr. Enfriar mucho o bruscamente. U. t. c. prnl."
"pastorear","1. tr. Llevar los ganados al campo y cuidar de ellos mientras pacen."
"patalear","1. intr. Mover las piernas o las patas violentamente y con rapidez."
"patear","1. tr. coloq. Dar golpes a alguien o algo con los pies o con las patas."
"patentar","1. tr. Conceder y expedir patentes."
"patinar","1. intr. Deslizarse o ir resbalando con patines sobre el hielo o sobre un pavimento duro, llano y muy liso."
"pedir","1. tr. Expresar a alguien la necesidad o el deseo de algo para que lo satisfaga."
"peer","1. intr. Arrojar o expeler la ventosidad del vientre por el ano. U. t. c. prnl."
"pegar","1. tr. Unir una cosa con otra mediante alguna sustancia."
"peinar","1. tr. Desenredar y componer el cabello. U. t. c. prnl."
"pelar","1. tr. Cortar o arrancar el pelo a una persona o un animal. U. t. c. prnl."
"pelear","1. intr. batallar (‖ combatir o contender con armas)."
"pellizcar","1. tr. Asir con el dedo pulgar y cualquiera de los otros una pequeña porción de piel y carne, apretándola de suerte que cause dolor. U. t. c. prnl."
"penar","1. tr. Imponer pena."
"penetrar","1. tr. Dicho de un cuerpo: Introducirse en otro. Los clavos penetran la madera. U. m. c. intr. y c. prnl. U. t. en sent. fig."
"pensar","1. tr. Formar o combinar ideas o juicios en la mente. Me asusta lo que pienso."
"percibir","1. tr. Recibir algo y encargarse de ello. Percibir el dinero, la renta."
"perder","1. tr. Dicho de una persona: Dejar de tener, o no hallar, aquello que poseía, sea por culpa o descuido del poseedor, sea por contingencia o desgracia."
"perdonar","1. tr. Dicho de quien ha sido perjudicado por ello: Remitir la deuda, ofensa, falta, delito u otra cosa."
"perdurar","1. intr. Durar mucho, subsistir, mantenerse en un mismo estado."
"perecer","1. intr. Acabar, fenecer o dejar de ser."
"perfeccionar","1. tr. Mejorar algo o hacerlo más perfecto."
"perforar","1. tr. Agujerear algo atravesándolo total o parcialmente. U. t. en sent. fig. Nos perforó con su mirada."
"perfumar","1. tr. Sahumar, aromatizar algo, quemando materias olorosas. U. t. c. prnl."
"pergeñar","1. tr. coloq. Disponer o ejecutar algo con más o menos habilidad."
"perjudicar","1. tr. Ocasionar daño o menoscabo material o moral. U. t. c. prnl."
"perjurar","1. intr. Jurar en falso. U. t. c. prnl."
"permanecer","1. intr. Mantenerse sin mutación en un mismo lugar, estado o calidad."
"permitir","1. tr. Dicho de quien tiene autoridad competente: Dar su consentimiento para que otros hagan o dejen de hacer algo."
"permutar","1. tr. Cambiar algo por otra cosa, sin que en el cambio entre dinero a no ser el necesario para igualar el valor de las cosas cambiadas y transfiriéndose los contratantes recíprocamente el dominio de ellas."
"pernoctar","1. intr. Pasar la noche en determinado lugar, especialmente fuera del propio domicilio."
"perpetuar","1. tr. Hacer perpetuo o perdurable algo. U. t. c. prnl."
"perseguir","1. tr. Seguir a quien va huyendo, con ánimo de alcanzarle."
"persistir","1. intr. Mantenerse firme o constante en algo."
"persuadir","1. tr. Inducir, mover, obligar a alguien con razones a creer o hacer algo. U. t. c. prnl."
"perturbar","1. tr. Inmutar, trastornar el orden y concierto, o la quietud y el sosiego de algo o de alguien. U. t. c. prnl."
"pervertir","1. tr. Viciar con malas doctrinas o ejemplos las costumbres, la fe, el gusto, etc. U. t. c. prnl."
"pescar","1. tr. Sacar o tratar de sacar del agua peces y otros animales."
"pestañear","1. intr. Mover los párpados."
"petrificar","1. tr. Transformar o convertir algo en piedra. U. t. c. prnl."
"picanear","1. tr. Arg., Bol., Chile, Par., Perú y Ur. Aguijar a los bueyes."
"picar","1. tr. Pinchar una superficie con un instrumento punzante. U. t. c. prnl."
"picotear","1. tr. Dicho de un ave: Golpear algo o a alguien o herir con el pico."
"pillar","1. tr. Hurtar o robar."
"pinchar","1. tr. Clavar algo punzante en alguien o algo. Pinchó el globo con una aguja. U. t. c. prnl."
"pintar","1. tr. Representar algo en una superficie con líneas y colores."
"pisar",""
